Freq [GHz],"im(S(1,1)) []","re(S(1,1)) []","im(S(2,1)) []","re(S(2,1)) []"
86.139999389648,0.18939328193665,	-0.069279104471207,0.79850798845291   ,-0.5673477649688	
86.199996948242,0.19016547501087,	-0.067619964480400,0.80308663845062   ,-0.5607907772064	
86.260002136230,0.19092281162739,	-0.065954349935055,0.80761158466339   ,-0.5541960597038	
86.319999694824,0.19166524708271,	-0.064282447099686,0.81208252906799   ,-0.5475647449493	
86.379997253418,0.19239275157452,	-0.062604293227196,0.81649941205978   ,-0.5408965945243	
86.440002441406,0.19310531020164,	-0.060920093208551,0.82086163759232   ,-0.5341922640800	
86.500000000000,0.19380284845829,	-0.059229966253042,0.82516908645630   ,-0.5274519920349	
86.559997558594,0.19448535144329,	-0.057534065097570,0.82942152023315   ,-0.5206764936447	
86.620002746582,0.19515277445316,	-0.055832523852587,0.83361858129501   ,-0.5138663649559	
86.680000305176,0.19580511748791,	-0.054125387221575,0.83775973320007   ,-0.5070218443870	
86.739997863770,0.19644232094288,	-0.052412897348404,0.84184503555298   ,-0.5001435875892	
86.800003051758,0.19706438481808,	-0.050695091485977,0.84587407112122   ,-0.4932315349578	
86.860000610352,0.19767124950886,	-0.048972159624100,0.84984672069550   ,-0.4862861335277	
86.919998168945,0.19826292991638,	-0.047244243323803,0.85376238822937   ,-0.4793087542057	
86.980003356934,0.19883938133717,	-0.045511376112700,0.85762095451355   ,-0.4722989797592	
87.040000915527,0.19940054416656,	-0.043773904442787,0.86142235994339   ,-0.4652577042579	
87.099998474121,0.19994643330574,	-0.042031712830067,0.86516612768173   ,-0.4581849277019	
87.160003662109,0.20047701895237,	-0.040285050868988,0.86885195970535   ,-0.4510816037654	
87.220001220703,0.20099227130413,	-0.038534041494131,0.87247979640961   ,-0.4439477324485	
87.279998779297,0.20149220526218,	-0.036778837442398,0.87604922056198   ,-0.4367842078208	
